objectid,cod_loc,localidad,estado,barriocomu,cod_polbar,shape_area,shape_len,codigo_upz,area_m2,population_x,pop_density_x,estrato_0,estrato_1,estrato_2,estrato_3,estrato_4,estrato_5,estrato_6,street_total_length,street_len_CL,street_ratio_CL,street_len_KR,street_ratio_KR,street_len_None,street_ratio_None,street_len_AK,street_ratio_AK,street_len_TV,street_ratio_TV,street_len_DG,street_ratio_DG,street_len_AC,street_ratio_AC,fence_ratio,wall_ratio,road_ratio,sidewalk_ratio,building_ratio,sky_ratio,vegetation_ratio,person_count,bicyclist_count,motorcyclist_count,other_rider_count,street_light_count,source,Matched_Barrio,Cantidad,murder_rate_per_1000
2542,1,Usaquén,LEGALIZADO,el codito,10073,1.14E-05,0.020752657,9,139545.419,3960,28377.85738,0,0.460869495,0.458307247,0.000119978,0.08070328,0,0,3839.3331,1776.360827,0.462674319,1864.562899,0.485647598,0,0,0,0,0,0,57.04159008,0.014857161,0,0,0.036961518,0.048496205,0.083447639,0.043777157,0.346429145,0.210564542,0.091531253,0.734939759,0,0.012048193,0,0.048192771,2016north,el codito,4,1.01010101
840,1,Usaquén,LEGALIZADO,el cerro parte baja (villa nydia),10072,2.08E-06,0.009047751,11,25519.1581,1036,40596.95057,0,0,1,0,0,0,0,1054.363838,669.349771,0.634837564,319.6334223,0.303152869,0,0,0,0,0,0,0,0,0,0,0.007244613,0.015660645,0.067873387,0.042071548,0.474439452,0.16998471,0.040345581,0.322580645,0,0,0,0.032258065,2016north,el cerro parte baja (villa nydia),1,0.965250965
1192,8,Kennedy,LEGALIZADO,las torres,80177,3.49E-06,0.010214105,45,42792.67167,1055,24653.75399,0.603134232,0,0.396865768,0,0,0,0,1453.007742,660.464534,0.454549907,118.8387735,0.081788121,0,0,0,0,673.7044345,0.463661972,0,0,0,0,0.006019875,0.001148813,0.081007469,0.062568313,0.486748094,0.163791125,0.044395937,1.65625,0,0.0625,0,0.15625,2016south,las torres,1,0.947867299
2820,6,Tunjuelito,LEGALIZADO,villa ximena,60034,1.78E-06,0.006607342,42,21854.97689,1065,48730.3192,0.054298255,0,0.945701745,0,0,0,0,1089.956811,420.5807812,0.385869217,585.6405205,0.537306171,0,0,0,0,0,0,83.73550923,0.076824612,0,0,0,0.0011765,0.087631,0.04502825,0.041967,0.359718,0.10060275,0.25,0,0,0,0.25,2016south,villa ximena,1,0.938967136
2800,13,Teusaquillo,LEGALIZADO,alfonso lópez,130002,2.67E-05,0.023925792,100,327130.6655,6408,19588.50293,0.025198959,0,0,0.861518144,0.113282897,0,0,7327.879173,2856.382847,0.389796663,3674.049,0.501379582,0,0,431.8994844,0.05893922,21.86796836,0.002984215,266.9231891,0.036425708,0,0,0.021146073,0.005421211,0.108755105,0.070565604,0.400452211,0.193028982,0.032524182,1.458181818,0.032727273,0.021818182,0,0.123636364,2016central,alfonso lópez,6,0.936329588
983,8,Kennedy,LEGALIZADO,argelia,80335,9.90E-06,0.014988276,45,121512.6595,2172,17874.68078,0.10688322,0,0,0.89311678,0,0,0,3373.716722,608.1012936,0.180246696,1164.657356,0.345214922,0,0,1391.575017,0.412475359,0,0,209.3830553,0.062063022,0,0,0.005073353,0.000314059,0.113065706,0.060351647,0.234241882,0.261966471,0.021179412,1.352941176,0.647058824,0.352941176,0,0,2016south,argelia,2,0.920810313
912,18,Rafael Uribe,LEGALIZADO,el socorro,180040,2.65E-06,0.007775689,54,32538.0666,1104,33929.48983,0.247409752,0,0.75102686,0.001563388,0,0,0,1462.558038,818.19289,0.55942593,534.6107382,0.365531298,0,0,0,0,0,0,39.90868382,0.027286906,0,0,0.039654739,0.010199957,0.114707783,0.02641587,0.184457391,0.322145174,0.036761783,0.869565217,0.043478261,0.304347826,0,0.043478261,2016south,el socorro,1,0.905797101
3636,3,Santa Fe,LEGALIZADO,los laches,30028,2.02E-05,0.021678079,96,247656.1057,4451,17972.50259,0.059573581,0,0.940426419,0,0,0,0,7845.822594,1147.600665,0.146269005,2253.919504,0.287276379,0,0,0,0,162.6918432,0.02073611,3937.140667,0.501813624,0,0,0.011714068,0.010842027,0.082873351,0.031989541,0.224150946,0.258708419,0.123856959,0.891891892,0,0.013513514,0,0.135135135,2016south,los laches,4,0.898674455
982,8,Kennedy,SIN LEGALIZAR,abraham lincon,80334,4.28E-06,0.008788376,47,52556.00249,1176,22376.13106,0.16237563,0,0,0.83762437,0,0,0,1569.634526,480.296925,0.305992839,0,0,0,0,0,0,935.9527706,0.596287069,0,0,129.2606507,0.082350795,0.012002089,0.003857644,0.096333622,0.043283956,0.308656733,0.268294422,0.057477422,1.466666667,0.044444444,0.044444444,0.022222222,0.066666667,2016central,abraham lincon,1,0.850340136
2535,12,Barrios Unidos,LEGALIZADO,la libertad,120023,1.28E-05,0.016269192,22,157038.2852,4813,30648.57715,0.009003714,0,0,0.990996286,0,0,0,5142.797364,2602.711095,0.506088596,1836.428079,0.357087388,0,0,0,0,432.3816235,0.084075182,230.8645819,0.044890857,0,0,0.001212143,0.00069148,0.051880582,0.034372286,0.395986561,0.226955847,0.025796388,0.663265306,0.030612245,0.010204082,0,0.836734694,2016north,la libertad,4,0.831082485
2589,3,Santa Fe,LEGALIZADO,samper,30042,1.72E-05,0.0182889,91,211179.4128,4916,23278.7843,0.019388016,0,0,0.131166242,0.849445742,0,0,6273.731643,1993.315565,0.317724072,4209.191386,0.670923085,0,0,0,0,0,0,7.391753042,0.001178207,0,0,0.018818438,0.009511597,0.102270675,0.07229559,0.308346908,0.123162519,0.130926996,2.498233216,0.219081272,0.134275618,0.003533569,0.219081272,2016central,samper,4,0.81366965
