Barrio,Matched_Barrio,Score,recheck,codigo_upz,Cantidad
SAN PEDRO E-9,san pedro,100,,84,1.0
SAN RAFAEL DEL ALTO DE LA ESTANCIA E-19,la estancia,100,,69,1.0
SAN RAFAEL E-4,san rafael,100,,43,1.0
SAN RAFAEL SUR E-19,san rafael sur,100,,68,1.0
SAN VICENTE E-4,san vicente,100,,32,2.0
SAN VICENTE FERRER E-6,san vicente ferrer,100,,42,2.0
SAN VICTORINO E-3,san victorino,100,,102,1.0
SANTA ANITA E-4,santa anita,100,,33,1.0
SANTA CATALINA E-8,santa catalina,100,,48,1.0
SANTA CECILIA E-1,santa cecilia,100,,114,2.0
SANTA CECILIA I E-11,santa cecilia,100,0.0,114,4.0
SANTA FE E-14,santa fe,100,,102,15.0
SANTA FE E-7,santa fe,100,,102,7.0
SANTA HELENITA E-10,s.c. santa helenita,87,,30,1.0
SANTA ISABEL DEL RESTREPO E-15,restrepo,100,,38,1.0
SANTA LIBRADA E-10,santa librada,100,,57,1.0
SANTA LIBRADA E-5,santa librada,100,,57,6.0
SANTA LIBRADA SECTOR LA SUREÑA E-5,la sureña,100,,89,
SANTA LUCIA E-18,santa lucia,100,,85,2.0
SANTA MARIA DEL LAGO E-10,santa maria,100,,81,2.0
SANTA MATILDE I SECTOR E-16,santa matilde,100,,40,1.0
SANTA MONICA E-8,alameda de santa monica etapa 5,85,,87,1.0
SANTA RITA E-11,santa rita,100,,71,5.0
SANTA RITA E-4,santa rita,100,,71,4.0
SANTA ROSA DE LIMA E-3,santa rosa,100,,25,2.0
SANTA ROSITA E-10,santa rosita,100,,30,1.0
SANTA VIVIANA E-19,santa viviana,100,,69,1.0
SANTANDER E-9,santander,100,,75,1.0
SANTIAGO DE LAS ATALAYAS E-7,santiago de las atalayas,100,,86,1.0
SANTO DOMINGO E-19,santo domingo,100,,90,3.0
SIERRA MORENA E-19,sierra morena,100,,69,7.0
SOCIEGO SUR E-18,s.c. sosiego sur,77,,36,1.0
SOCORRO III SECTOR E-18,socorro iii sector,100,,54,1.0
SUBA URBANO E-11,s.c suba urbano,84,,27,1.0
SUMAPAZ E-20,sumapaz,100,,82,1.0
SUMAPAZ E-8,sumapaz,100,,82,1.0
TAIRONA  E-8,tayrona,66,,82,0.0
TENERIFE E-5,tenerife,100,,58,1.0
TIBABUYES E-11,tibabuyes ii,85,,28,1.0
TIGUAQUE E-4,s.c. tihuaque,75,,52,2.0
TINTAL    E-8,el tintal,84,,78,3.0
TINTALITO E-8,tintalito,100,,82,2.0
TOCAIMITA ORIENTAL E-5,tocaimita oriental,100,,61,1.0
TORCA GÓNGORA E-1,torca,100,,1,
TORRES BLANCAS E-3,las torres,75,,45,1.0
TUNA ALTA E-11,tuna alta,100,,27,1.0
TUNA BAJA E-11,tuna baja,100,,27,1.0
TUNALITO E-6,tunalito,100,,62,2.0
TUNJUELITO E-6,tunjuelito,100,,62,7.0
UNIDAD COMERCIAL OVIEDO E-8,oviedo,100,,75,1.0
URB. ACAPULCO E-19,acapulco,100,,27,1.0
URB. BETANIA E-7,betania,100,,84,1.0
URB. BOSQUES DE LA CANDELARIA E-19,candelaria la nueva,81,,66,1.0
URB. CARABELAS E-16,las carabelas,81,,40,1.0
URB. CASA REY E-5,casa rey,100,,57,1.0
URB. CASTILLA E-8,castilla,100,,46,1.0
URB. CLARET EL CARMEN E-6,el carmen,100,,28,1.0
URB. COLON E-16,colon,100,,43,1.0
URB. COSTA AZUL I Y II ETAPA E-11,costa azul i etapa,100,,28,1.0
URB. EL BATAN E-11,el batan,100,,20,1.0
URB. EL LAGUITO E-11,urb. el laguito,100,,28,1.0
URB. EL VIRREY E-5,el virrey,100,,58,3.0
URB. GRANJAS DE SAN PABLO E-18,granjas de san pablo,100,,53,2.0
URB. HOSPITAL SANTA CLARA E-15,santa clara,100,,107,1.0
URB. HUMBERTO VALENCIA E-7,humberto valencia,100,,85,1.0
URB. INDUSTRIAL PENSILVANIA E-16,pensilvania,100,,108,4.0
URB. LA ALQUERÍA E-16,la alquería,100,,41,
URB. LA ASUNCIÓN E-16,la asunción,100,,40,
URB. LA CORUÑA E-19,la coruña,100,,65,
URB. LA PALMA E-11,la palma,100,,84,1.0
URB. LA SABANA DE TIBABUYES E-11,la sabana,100,,102,1.0
URB. LA UNIDAD E-8,la unidad,100,,48,1.0
URB. LAGUNETA E-6,laguneta,100,,42,1.0
URB. LAS QUINTAS DEL SUR E-19,urb. las quintas,100,,67,1.0
URB. LOS COMUNEROS E-16,comuneros,100,,58,1.0
URB. LOS EJIDOS E-16,los ejidos,100,,108,1.0
URB. LUCERNA E-8,lucerna,100,,45,1.0
URB. MADELENA I Y II SECTOR E-19,madelena,100,,65,3.0
URB. MADRID E-18,urb. madrid,100,,54,1.0
URB. MANUELA BELTRÁN E-19,manuela beltrán,100,,90,
URB. MARRUECOS E-18,marruecos,100,,54,1.0
URB. MIRAVALLE E-5,miravalle,100,,57,2.0
URB. NUEVA ZELANDIA E-11,nueva zelanda,72,,17,1.0
URB. PUENTE ARANDA E-16,puente aranda,100,,111,1.0
URB. SANTA RITA I SECTOR E-16,santa rita,100,,71,2.0
URB. TIMIZA E-8,timiza,100,,48,2.0
URB. URBANA QUIROGA E-18,s.c. quiroga,77,,39,1.0
URB. VILLA DEL RÍO E-19,villa del río,100,,49,
URB. VILLAS DEL PROGRESO E-7,villas del progreso,100,,67,2.0
VALENCIA LA CHUCUA E-8,la chucua,100,,45,1.0
VEINTE DE JULIO E-4,s.c. 20 de julio,69,,34,1.0
VENECIA E-6,venecia,100,,42,4.0
VERAGUAS CENTRAL IV SECTOR E-16,veraguas,100,,37,1.0
VERBENAL E-1,s.c. el verbenal,81,,9,1.0
VEREDA LA REQUILINA E-5,s.c. la requilina,85,,61,1.0
VILLA ALEMANA II SECTOR E-5,villa alemania ii sector,90,,58,1.0
VILLA ALEMANIA E-5,villa alemania,100,,58,1.0
VILLA ALSACIA E-8,alsacia,100,,113,2.0
VILLA AMALIA E-10,villa amalia,100,,73,1.0
VILLA ANITA SUR E-5,villa anita,100,,81,1.0
VILLA CAROLINA E-18,villa carolina,100,,54,1.0
VILLA CLAUDIA E-8,villa claudia,100,,44,2.0
VILLA CLAVER E-10,villa claver i y ii,82,,74,1.0
VILLA DE LA LOMA E-8,villa de la loma,100,,80,2.0
VILLA DE LOS ALPES E-4,los alpes,100,,67,2.0
VILLA DEL CERRO E-4,villa del cerro,100,,90,1.0
VILLA DEL MAR E-10,villa del mar - urb. tierragrata,83,,73,1.0
VILLA DEL PRADO E-11,villa del prado,100,,17,2.0
VILLA DIANA E-4,villa diana,100,,52,2.0
VILLA ELISA E-11,villa elisa,100,,28,2.0
VILLA GLORIA E-19,villa gloria,100,,67,5.0
VILLA HELENA E-9,villa helena,100,,66,3.0
VILLA HERMOSA E-11,villa hermosa,100,,27,1.0
VILLA HERMOSA E-5,villa hermosa,100,,27,4.0
VILLA MARIA I E-11,villa maria,100,,28,1.0
VILLA MAYOR E-18,villa mayor,100,,39,1.0
VILLA NATALY - 20 DE JULIO E-4,villa nataly 20 de julio,100,,34,1.0
VILLA NELLY E-8,villa nelly,100,,57,3.0
VILLA NHORA II E-7,villa nhora,100,,85,1.0
VILLA NOHORA E-7,villa nhora,81,,85,1.0
VILLA NYDIA E-1,el cerro parte baja (villa nydia),84,,11,1.0
VILLA ROSITA E-4,villa rosita,100,,52,1.0
VILLA SAGRARIO E-10,villa sagrario,100,,73,1.0
VILLA SONIA E-7,villa sonia,100,,41,1.0
VILLA XIMENA E-6,villa ximena,100,,42,1.0
VILLAS DE BOLÍVAR E-19,villas de bolívar,100,,70,
VILLAS DE GRANADA E-10,villas de granada,100,,73,1.0
VILLAS DE VALERO E-7,villas del velero,81,,84,1.0
VILLAS DEL PROGRESO E-19,villas del progreso,100,,67,1.0
VILLEMAR CENTRAL E-9,villemar,100,,75,0.0
VISION DE COLOMBIA E-8,colombia,100,,98,1.0
VISTA HERMOSA E-19,vista hermosa,100,,24,5.0
VITELMA E-4,vitelma,100,,32,4.0
VOTO NACIONAL E-14,voto nacional,100,,102,6.0
ÁLVARO BERNAL SEGURA E-19,álvaro bernal segura,100,,67,
