barrio,longitude,latitude,fence_ratio,wall_ratio,road_ratio,sidewalk_ratio,building_ratio,sky_ratio,vegetation_ratio,person_count,bicyclist_count,motorcyclist_count,other_rider_count,street_light_count,source
Cedro Madeira,"-74.03151130707533","4.726748932900759","0.0722946666666666","0.0204671851851851","0.1086236666666666","0.0510527407407407","0.1474944074074074","0.1882635185185185","0.2500152222222222","0.2962962962962963","0.1481481481481481","0.0","0.0","0.1481481481481481",2016north
Cedro Narváez,"-74.03702895459159","4.72248353316388","0.0278653103448275","0.0246874022988505","0.1261171494252873","0.0545694367816091","0.2643159655172413","0.1862201034482758","0.1815956436781609","0.7701149425287356","0.0804597701149425","0.0804597701149425","0.0","0.1954022988505747",2016north
Cedro Norte,"-74.031965237341","4.733695417712533","0.0309216666666666","0.0284768888888888","0.1417872222222222","0.0535568888888888","0.0661648888888888","0.2638903333333333","0.2646784444444444","0.1111111111111111","0.1111111111111111","0.2222222222222222","0.0","0.0",2016north
Cedro Salazar,"-74.02811845417806","4.726694566318769","0.0469422049549549","0.0200419774774774","0.1010104707207207","0.0500703648648648","0.232411740990991","0.1914076058558558","0.1699376689189189","0.4797297297297297","0.0382882882882882","0.0472972972972973","0.0","0.0743243243243243",2016north
Centro Industrial de Construcción,"-74.15949034351061","4.69456060226152","0.1126955999999999","0.0348846666666666","0.0639195333333333","0.0150392666666666","0.0942648666666666","0.4242122666666666","0.0401956666666666","0.6","0.0","0.4","0.0","0.0666666666666666",2016north
Centro Norte Usaquén,"-74.0296598710075","4.69759032111635","0.0362998333333333","0.0567304999999999","0.1518861666666666","0.032108","0.1089038333333333","0.2203323333333333","0.2014071666666666","0.0","0.0","0.3333333333333333","0.0","0.1666666666666666",2016north
Cerros Norte,"-74.01777600225537","4.732438128647537","0.0299742520325203","0.0179631707317073","0.0583421463414634","0.028217894308943","0.4234673577235772","0.2092796016260162","0.0784477154471544","0.3089430894308943","0.0","0.008130081300813","0.0","0.016260162601626",2016north
Cerros de Niza,"-74.07968246340509","4.710595578119743","0.0331466666666666","0.012661619047619","0.1293318571428571","0.0053375714285714","0.0128360476190476","0.1800179999999999","0.0270176666666666","0.3333333333333333","0.1904761904761904","0.238095238095238","0.0","0.1904761904761904",2016north
Cerros de Santa Bárbara,"-74.0292053430707","4.692676539207144","0.0980540952380952","0.0451158095238095","0.0800747142857142","0.0452347142857142","0.0536251428571428","0.0668609047619047","0.4111872857142857","0.0952380952380952","0.0","0.0","0.0","0.1904761904761904",2016north
Chaparral,"-74.024282504437","4.7632980668973","0.2963986666666666","0.0261086666666666","0.0526856666666666","0.0696121666666666","0.224302","0.1643758333333333","0.0188511666666666","3.1666666666666665","0.0","0.0","0.0","0.0",2016north
Chico Norte - Urb. Conjunto de la Cien,"-74.04075839414442","4.681124869931818","0.0095970588235294","0.0009220588235294","0.1636574705882353","0.0069907058823529","0.3602574705882353","0.1224658823529411","0.0524067647058823","0.0588235294117647","0.0","0.0","0.0","0.7058823529411765",2016north
Chico Norte - Urb. La Gran Vía,"-74.03944340536148","4.680233353142584","0.0163227","0.00225304","0.0839068999999999","0.0271601","0.27876898","0.1531742","0.11130062","0.34","0.0","0.0","0.0","1.02",2016north
Chico Reservado,"-74.04272411086488","4.680555262078004","0.0122203333333333","0.0044573518518518","0.0999497037037037","0.0293403888888888","0.1755174074074074","0.0634531296296296","0.2459649259259259","0.2222222222222222","0.0","0.074074074074074","0.0","0.9444444444444444",2016north
Chico Reservado II Sector,"-74.04534527085715","4.681505005055346","0.009476454054054","0.0030841675675675","0.0984463189189189","0.0287843027027027","0.2347479729729729","0.1189619135135135","0.2224945513513513","0.6648648648648648","0.0432432432432432","0.0648648648648648","0.0","0.7027027027027027",2016north
Ciudad Bachue II Etapa,"-74.10707418444288","4.710363035556964","0.00327564","0.00171768","0.0876716","0.0243935999999999","0.20558468","0.3329970399999999","0.1198422","0.56","0.0","0.0","0.0","0.08",2016north
Ciudad Hunza,"-74.08643662846133","4.7208576314518","0.0","0.0012945833333333","0.0141283333333333","0.0555846666666666","0.66227875","0.1330379166666666","0.0004385","0.3333333333333333","0.0","0.0","0.0","0.0",2016north
Ciudad Hunza - El Jordán,"-74.08992499403821","4.72013118280028","0.0183885","0.0","0.10701","0.0363339","0.22483","0.2006287","0.2142159999999999","0.6","0.1","0.2","0.0","0.0",2016north
Ciudad Jardín Norte,"-74.07091761215935","4.721258933579006","0.0037049540816326","0.0128575","0.0856074362244898","0.0633003239795918","0.3235174387755102","0.2215013979591836","0.0452377168367346","1.3724489795918366","0.0739795918367346","0.0994897959183673","0.0","0.1122448979591836",2016north
Ciudad Mónaco,"-74.08274162151635","4.691938802140832","0.0342590163934426","0.0117081475409836","0.1707989344262295","0.029982475409836","0.1029161803278688","0.3492665409836065","0.1194863606557377","0.3278688524590163","0.0491803278688524","0.0163934426229508","0.0","0.0491803278688524",2016north
Ciudadela Colsubsidio,"-74.11098449077313","4.722846027964831","0.0152918545454545","0.0061444","0.1167150545454545","0.0353498545454545","0.093174509090909","0.3459495090909091","0.2321231818181818","0.6545454545454545","0.0363636363636363","0.0363636363636363","0.0","0.1272727272727272",2016north
Ciudadela Colsubsidio 4 Sector,"-74.11893329235349","4.7314323394972","0.04036","0.003727","0.388883","0.073214","0.075697","0.0807715","0.2571065","0.5","0.0","0.0","0.0","0.0",2016north
Ciudadela Industrial El Dorado,"-74.11510199318907","4.688094629554782","0.0089706444444444","0.0092765333333333","0.0976115777777777","0.0470527481481481","0.1445071185185185","0.3056105407407408","0.1673346518518518","1.4370370370370371","0.037037037037037","0.0814814814814814","0.0","0.1259259259259259",2016north
Ciudadela Real,"-74.0287022003348","4.71571087762308","0.0055944","0.003413","0.1717784","0.0122506","0.1144282","0.1997818","0.2121484","2.0","0.0","0.2","0.0","0.0",2016north
Coasmedas,"-74.07028678884606","4.689647748059733","0.0079124333333333","0.0015379666666666","0.0633942","0.0382589","0.2098111999999999","0.1004485333333333","0.3272850333333333","0.5666666666666667","0.0333333333333333","0.1","0.0","0.4666666666666667",2016north
Colina Campestre I Sector,"-74.0656575709524","4.723624862253102","0.0292876078431372","0.0058988431372549","0.0988971960784313","0.0559259607843137","0.0964534901960784","0.2382231960784313","0.249054862745098","0.6470588235294118","0.0","0.0196078431372549","0.0","0.0980392156862745",2016north
Colina Campestre III Sector,"-74.066618723356","4.728946735506","0.0134976666666666","0.0113264166666666","0.1419698333333333","0.0262558333333333","0.15503025","0.39537125","0.0454138333333333","4.083333333333333","0.5","0.0","0.0","0.25",2016north
Colina Campestre IV Sector,"-74.06799409407583","4.719878380466374","0.011724617977528","0.0043326629213483","0.0963859438202247","0.0556277528089887","0.1722645168539326","0.2448485505617977","0.180676","1.247191011235955","0.0449438202247191","0.0674157303370786","0.0","0.1685393258426966",2016north
Colpatria Santa Helena,"-74.05330392127732","4.729958917853042","0.0330057837837837","0.0080463986486486","0.0900371418918919","0.059800581081081","0.2769019189189189","0.2586923445945946","0.1350584459459459","0.4054054054054054","0.1148648648648648","0.0337837837837837","0.0","0.0608108108108108",2016north
Colpatria Santa Helena II Sector,"-74.06293211431066","4.731659009539035","0.0329983629032258","0.0139563064516129","0.1116878064516129","0.026467814516129","0.1123534274193548","0.1953154354838709","0.3088879758064516","0.6451612903225806","0.0564516129032258","0.0080645161290322","0.0","0.1532258064516129",2016north
Compartir Suba,"-74.10369537521545","4.756282830564564","0.0","0.0006904545454545","0.413248","0.0299995454545454","0.089270909090909","0.2464689090909091","0.105822","2.5454545454545454","0.6363636363636364","0.0909090909090909","0.0","0.2727272727272727",2016north
Congreso Eucarístico,"-74.09141104860923","4.705981975702953","0.0572173333333333","0.0227970952380952","0.0533908571428571","0.0354813333333333","0.1713511666666666","0.3437126428571428","0.1037127857142857","0.4761904761904761","0.0238095238095238","0.0","0.0","0.0714285714285714",2016north
