objectid,cod_loc,localidad,estado,barriocomu,cod_polbar,shape_area,shape_len,codigo_upz,area_m2,population_x,pop_density_x,estrato_0,estrato_1,estrato_2,estrato_3,estrato_4,estrato_5,estrato_6,street_total_length,street_len_CL,street_ratio_CL,street_len_KR,street_ratio_KR,street_len_None,street_ratio_None,street_len_AK,street_ratio_AK,street_len_TV,street_ratio_TV,street_len_DG,street_ratio_DG,street_len_AC,street_ratio_AC,barrio,longitude,latitude,upz_code,fence_ratio,wall_ratio,road_ratio,sidewalk_ratio,building_ratio,sky_ratio,vegetation_ratio,person_count,bicyclist_count,motorcyclist_count,other_rider_count,street_light_count,population_y,pop_density_y,murder_rate,source,Matched_Barrio,Cantidad
2136,11,,SIN LEGALIZAR,villa catalina,110789,1.46E-06,0.005987759,28,17902.18992,900,50273.1791,0,0,0,1,0,0,0,521.3115345,230.3575153,0.441880718,270.7751,0.519411296,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0
2159,11,,LEGALIZADO,villa_alexandra,110788,3.47E-07,0.002807564,28,4253.663167,205,48193.75488,0,0,0,1,0,0,0,164.3747918,14.00539575,0.085204036,114.0024311,0.69355179,0,0,0,0,0,0,0,0,36.36696504,0.221244174,Villa_Alexandra,-74.08844135,4.731268308,28,0.0789295,0,0.159341,0.090334,0.24929825,0.31012625,0,0.5,0,0,0,0.75,205,48193.75488,0,2016north,,0
1237,8,Kennedy,SIN LEGALIZAR,kennedy supermanzana 15,80142,9.67E-06,0.012524391,47,118633.1632,2731,23020.54439,0.108677536,0,0,0.891322464,0,0,0,3801.673707,1338.504046,0.352082832,1826.889939,0.480548853,0,0,197.1464989,0.051857817,0,0,0,0,377.6203001,0.099330013,Kennedy Supermanzana 15,-74.1641829,4.620062781,47,0.003298517,0.008761811,0.098265615,0.05385542,0.273170706,0.249970385,0.070188678,1.657342657,0.27972028,0.104895105,0,0.083916084,2731,23020.54439,0,2016central,,0
1293,8,Kennedy,DEFI,marsella sector norte segunda etapa,80347,1.76E-06,0.005486164,113,21578.24022,396,18351.8209,0,0,0,1,0,0,0,679.2071705,447.2531591,0.658492988,3.186812511,0.004691959,0,0,0,0,176.7224513,0.260189319,0,0,0,0,Marsella Sector Norte Segunda Etapa,-74.13077018,4.634641821,113,0.006901286,0,0.104396143,0.011244619,0.140307619,0.171727714,0.138941095,0.19047619,0,0,0,1.619047619,396,18351.8209,0,2016central,,0
165,4,San Cristóbal,LEGALIZADO,los alpes (agrupación de vivienda),40093,1.74E-06,0.005453346,32,21299.19816,1021,47936.07685,0.117768373,0,0.882231627,0,0,0,0,670.8091433,291.9095476,0.435160359,362.7821165,0.540812719,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0
179,7,Bosa,SIN LEGALIZAR,s.c. escocia rural,70244,5.43E-07,0.003573921,84,6661.30569,263,39481.74911,0.000951722,0,0.999048278,0,0,0,0,222.543905,85.01971708,0.382035703,2.092618034,0.009403169,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0
58,10,Engativá,SIN LEGALIZAR,urb. caracoli,100276,3.03E-06,0.007279986,31,37218.52593,478,12843.06641,0,0,0,1,0,0,0,666.8573248,324.4224085,0.486494482,6.175917031,0.009261227,0,0,336.2589993,0.504244291,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0
997,8,Kennedy,SIN LEGALIZAR,nueva roma ultima etapa - bertha hernández ospina,80204,1.27E-05,0.016180538,48,156090.523,5351,34281.38939,0.495424741,0,0.043095725,0.461479534,0,0,0,4514.245429,1844.196345,0.408528152,2224.774665,0.492834229,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0
1062,8,Kennedy,SIN LEGALIZAR,san juan de castilla,80258,1.80E-06,0.005627223,46,22096.3794,846,38286.81544,0.003645298,0,0.066659351,0.92969535,0,0,0,59.04244707,0,0,55.80809296,0.94521985,0,0,0,0,0,0,0,0,0,0,San Juan de Castilla,-74.14366553,4.645820294,46,0.053873545,0.071418364,0.106713091,0.070140818,0.287547636,0.262370909,0.010258182,0.545454545,0.181818182,0.181818182,0,0.090909091,846,38286.81544,0,2016central,,0
1093,8,Kennedy,SIN LEGALIZAR,el portal de las americas,80099,1.42E-05,0.017162133,46,174712.2972,3320,19002.66926,0.160622313,0,0,0.839377687,0,0,0,3788.913458,606.7321101,0.160133536,1159.799649,0.306103494,0,0,781.5005626,0.206259808,0,0,0,0,1240.881136,0.327503162,,,,,,,,,,,,,,,,,,,,,,0
